国家,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI企业数量,AI市场规模,AI应用渗透率,大模型数量,AI社会信任度,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数,国际AI投资
美国,1.0,0.9999999999999999,0.19130434782608696,1.0,0.9999999999999999,0.05846153846153846,0.23232323232323232,0.2075471698113207,1.0,0.16198704103671707,1.0,0.4791666666666667,0.927318295739348,1.0,1.0,0.8703703703703705,0.4399198184503688,0.47368421052631576,1.0,0.0,1.0,1.0000000000000002,0.47776089242904207,1.0
中国,0.76,0.2488306828811974,1.0,0.8139408241060083,0.48571428571428565,0.9230769230769231,1.0,0.9999999999999999,0.4318181818181819,0.39956803455723544,0.7391304347826088,1.0,0.8771929824561402,0.09879839786381842,0.75,0.5185185185185186,1.0,1.0,0.5471698113207547,1.0,0.9437543133195307,0.42071994857510187,0.07215148193188425,0.614535659985645
英国,0.096,0.04864359214218896,0.053913043478260876,0.0,0.07428571428571429,0.4461538461538462,0.014141414141414142,0.2075471698113207,0.09090909090909094,0.019438444924406047,0.052173913043478265,0.027777777777777783,0.6265664160401003,0.0020026702269692926,0.375,0.9259259259259258,0.013456892728110473,0.05263157894736842,0.1509433962264151,0.14423076923076925,0.36818495514147687,0.41884508249410757,0.12348937792358908,0.17506425048814936
德国,0.07200000000000001,0.03367633302151544,0.04869565217391304,0.12470502813577782,0.053714285714285714,0.0,0.0101010101010101,0.35849056603773577,0.034090909090909116,0.019438444924406047,0.10434782608695653,0.01909722222222223,0.9022556390977441,0.0,0.5,0.8888888888888888,0.03618935247585295,0.10526315789473684,0.16226415094339622,0.34615384615384615,0.3995859213250517,0.8537068780801371,0.08399135784644655,0.044178481295969005
韩国,0.047999999999999994,0.004677268475210477,0.022608695652173917,0.7260845888546016,0.022857142857142857,0.9076923076923078,0.0101010101010101,0.7924528301886792,0.034090909090909116,0.015118790496760258,0.06956521739130435,0.010416666666666671,0.9999999999999998,0.09879839786381842,0.25,0.9444444444444444,0.048440507615524736,0.031578947368421054,0.05660377358490566,0.11538461538461539,0.0,0.038407970859224344,0.039767516710503256,0.15504433862515535
日本,0.052,0.007483629560336765,0.029565217391304355,0.3811944091486658,0.033142857142857154,0.0,0.0101010101010101,0.0,0.034090909090909116,0.015118790496760258,0.1565217391304348,0.010416666666666671,0.9949874686716791,0.032042723631508674,0.375,0.9259259259259258,0.09034419501944252,0.0736842105263158,0.04905660377358491,0.3076923076923077,0.2715665976535541,0.1851296335976002,0.03292766647587428,0.04769199898125352
法国,0.044000000000000004,0.013096351730589338,0.029565217391304355,0.10709747685605374,0.01257142857142857,0.0,0.0101010101010101,0.15094339622641506,0.034090909090909116,1.0,0.060869565217391314,0.04513888888888889,0.8270676691729324,0.04873164218958611,0.3125,0.7407407407407407,0.03760717069368667,0.05263157894736842,0.09433962264150943,0.22115384615384617,0.1863354037267081,0.5335868866509536,0.0570367011900081,0.03763766583571941
加拿大,0.064,0.028999064546304958,0.02434782608695652,0.427300780540933,0.0022857142857142902,0.4307692307692308,0.004040404040404042,0.5660377358490566,0.034090909090909116,0.009935205183585313,0.026086956521739132,0.0,0.9022556390977441,0.008678237650200265,0.125,0.8888888888888888,0.05101346550513945,0.031578947368421054,0.07547169811320754,0.09615384615384616,0.3909592822636301,0.16054210413541892,0.09482486570821547,0.031166310362658312
阿联酋,0.0,0.0,0.0,0.2722817208204756,0.0,0.4461538461538462,0.0,0.1132075471698113,0.0,0.8531317494600433,0.0,0.21875000000000003,0.7518796992481203,0.3324432576769025,0.0,1.0,0.0,0.10526315789473684,0.0,0.009615384615384616,0.0,0.0,0.0,0.0
印度,0.28,0.0,0.8086956521739131,0.07260845888546016,0.0,1.0,0.0101010101010101,0.8113207547169811,0.0,0.0,0.01739130434782609,0.0017361111111111119,0.0,0.025367156208277706,0.0625,0.0,0.18855152159777455,0.0,0.037735849056603765,0.038461538461538464,0.29572118702553485,0.1109385043925434,1.0,0.0034421282540074553
