,Eigenvalue,Variance_Ratio,Cumulative_Ratio
PC1,1.2616879515184625,0.474865143982222,0.474865143982222
PC2,0.5874203764085881,0.22108910629259773,0.6959542502748197
PC3,0.3543417588104109,0.13336463276352156,0.8293188830383413
PC4,0.22445799843715042,0.08447990615868149,0.9137987891970228
PC5,0.1011519816294752,0.03807086392697864,0.9518696531240015
PC6,0.056603264522114914,0.02130393440375544,0.973173587527757
PC7,0.03514968103410845,0.013229387127857374,0.9864029746556143
PC8,0.028387421385367404,0.010684255902755398,0.9970872305583697
PC9,0.007739052142757014,0.0029127694416303984,1.0
PC10,1.109642194599858e-32,4.17639242629876e-33,1.0
