Indicator_1,Indicator_2,Correlation
AI研究人员数量,顶尖AI学者数量,0.9000067129027419
AI研究人员数量,AI企业数量,0.8002013341383026
AI研究人员数量,AI市场规模,0.8886534910064975
AI研究人员数量,AI政策数量,0.9188377728158118
AI研究人员数量,AI补贴金额,0.8081580264828186
AI研究人员数量,企业研发支出,0.9614644045988604
AI研究人员数量,政府AI投资,0.7719179699948543
AI研究人员数量,电能生产,0.8516237616611153
AI研究人员数量,TOP500上榜数,0.8794220443969863
AI研究人员数量,国际AI投资,0.7950333192943778
顶尖AI学者数量,AI市场规模,0.9987452911008442
顶尖AI学者数量,AI政策数量,0.9968422584978328
顶尖AI学者数量,企业研发支出,0.9246384521842727
顶尖AI学者数量,GPU集群规模,0.7934457882191842
顶尖AI学者数量,互联网带宽,0.7678309920642109
顶尖AI学者数量,TOP500上榜数,0.9659697960981065
顶尖AI学者数量,AI_Dataset数量,0.7302051105610193
顶尖AI学者数量,国际AI投资,0.9712922774356684
AI毕业生数量,大模型数量,0.7413483161541337
AI毕业生数量,互联网普及率,-0.8725771052660728
AI毕业生数量,电能生产,0.7861095142538809
AI毕业生数量,AI_Book数量,0.8788160506766112
AI市场规模,AI政策数量,0.9943106254672573
AI市场规模,企业研发支出,0.9130421986793522
AI市场规模,GPU集群规模,0.8022828509296651
AI市场规模,互联网带宽,0.7792767876871448
AI市场规模,TOP500上榜数,0.9635618996104954
AI市场规模,AI_Dataset数量,0.7320749503491492
AI市场规模,国际AI投资,0.9784635658528231
AI应用渗透率,AI社会信任度,0.7667482867996924
大模型数量,AI补贴金额,0.910798455413562
大模型数量,政府AI投资,0.9138201933257734
大模型数量,电能生产,0.9382467090378044
大模型数量,AI_Book数量,0.7516572107732706
AI政策数量,企业研发支出,0.943090170296814
AI政策数量,GPU集群规模,0.7721165337660879
AI政策数量,互联网带宽,0.7420025827445971
AI政策数量,TOP500上榜数,0.9614469813200486
AI政策数量,AI_Dataset数量,0.7559580145768773
AI政策数量,国际AI投资,0.9534171386083593
AI补贴金额,企业研发支出,0.8364281500532404
AI补贴金额,政府AI投资,0.9933437819895952
AI补贴金额,电能生产,0.9357433357371199
企业研发支出,政府AI投资,0.8038880810627815
企业研发支出,电能生产,0.8306477982508147
企业研发支出,TOP500上榜数,0.943531877723729
企业研发支出,国际AI投资,0.8145092702894918
政府AI投资,电能生产,0.9201273953147259
GPU集群规模,互联网带宽,0.9967756824548596
GPU集群规模,TOP500上榜数,0.7007283464220625
GPU集群规模,国际AI投资,0.8427793460751055
互联网带宽,国际AI投资,0.835470777958358
互联网普及率,GitHub项目数,-0.8200230430768848
电能生产,AI_Book数量,0.7899446826944776
TOP500上榜数,国际AI投资,0.9213431231199901
