0,1,2,3
1.0,4.0,0.0012547088991557431,2.0
13.0,14.0,0.0032243175451404094,2.0
8.0,24.0,0.0044235580174549205,3.0
9.0,11.0,0.006656218010404835,2.0
23.0,26.0,0.03227567270104975,4.0
0.0,10.0,0.0385355954011396,2.0
19.0,28.0,0.04691954996283987,5.0
6.0,16.0,0.06175329096219567,2.0
27.0,31.0,0.07987765505220472,4.0
29.0,30.0,0.10792346904099248,7.0
2.0,20.0,0.12118394932338883,2.0
15.0,22.0,0.17997695692311527,2.0
5.0,7.0,0.23325171320030763,2.0
25.0,33.0,0.2844048445278692,9.0
32.0,34.0,0.31219335776114004,6.0
17.0,18.0,0.34363615349027676,2.0
21.0,37.0,0.35802036645435464,10.0
3.0,40.0,0.4275955058602004,11.0
35.0,39.0,0.5734281806997351,4.0
38.0,41.0,0.5853791427689213,17.0
36.0,43.0,0.6671514394807205,19.0
42.0,44.0,0.7088771115012367,23.0
12.0,45.0,0.8781908963966055,24.0
