,Importance,Normalized,Contribution_%
AI应用渗透率,0.05535123612955866,0.06052817975689459,100.0
AI毕业生数量,0.05022291365634546,0.054920210609043764,90.73494499524904
AI研究人员数量,0.04609635083351817,0.050407694651250654,83.27971343877866
企业研发支出,0.04596715766577927,0.050266418180713306,83.04630732760074
国际AI投资,0.04087176543230342,0.04469445920372108,73.84074555559398
AI市场规模,0.04020649386822946,0.04396696548121115,72.63883641933408
AI社会信任度,0.03989660337034002,0.04362809124690676,72.07897449111246
AI企业数量,0.03953161216533278,0.04322896279357551,71.41956517972345
AI_Book数量,0.03856529281083158,0.042172264593468275,69.6737697430337
政府AI投资,0.03851035992454664,0.04211219389138247,69.57452555243178
AI政策数量,0.03797601439214293,0.04152787157630496,68.60915319624269
数据中心数量,0.03760935141600569,0.04112691499282622,67.9467235889273
AI算力平台,0.037071147420077895,0.04053837333613863,66.97438036127465
大模型数量,0.03703173753448359,0.04049527748487585,66.90318071272108
电能生产,0.03680778427575204,0.04025037811045327,66.49857681515437
GitHub项目数,0.036417988336310665,0.03982412496163848,65.79435416955889
顶尖AI学者数量,0.03617642122775019,0.039559964332306234,65.3579283090866
AI补贴金额,0.03477615194294205,0.03802872931561139,62.828139667093886
互联网普及率,0.032991492517869606,0.03607715254806138,59.603894736239674
互联网带宽,0.03224720293623568,0.03526325033487731,58.25922814217881
5G覆盖率,0.03210971174614395,0.03511289973657482,58.010830455504006
AI_Dataset数量,0.031246646149512218,0.034169112511071104,56.45157784078084
GPU集群规模,0.02872791841953089,0.03141481079245833,51.901132528076666
TOP500上榜数,0.028061167689041606,0.03068569955863451,50.69655106411686
