年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,3500,900,450,300,250,700,350,25,50,1600
2017,4000,1200,520,350,300,800,400,80,70,1800
2018,4500,1600,600,400,350,900,450,132,100,2000
2019,4800,2000,650,450,400,1000,500,214,150,2300
2020,5000,2600,700,500,453,1100,550,247,200,2600
2021,5200,3400,750,550,502,1200,600,300,260,3000
2022,5300,4227,3170,502,550,1400,650,1915,320,3000
2023,5509,4484,3500,687,2354,2100,590,1500,400,4000
2024,5800,4800,3800,750,2600,2400,640,2170,500,4500
2025,6100,5200,4100,820,2850,2700,700,2400,650,5000
