year,country,rank
2026,美国,1
2026,中国,2
2026,印度,3
2026,阿联酋,4
2026,德国,5
2026,英国,6
2026,法国,7
2026,韩国,8
2026,日本,9
2026,加拿大,10
2027,美国,1
2027,中国,2
2027,印度,3
2027,阿联酋,4
2027,德国,5
2027,法国,6
2027,英国,7
2027,韩国,8
2027,日本,9
2027,加拿大,10
2028,美国,1
2028,中国,2
2028,印度,3
2028,阿联酋,4
2028,德国,5
2028,法国,6
2028,英国,7
2028,韩国,8
2028,日本,9
2028,加拿大,10
2029,美国,1
2029,中国,2
2029,印度,3
2029,阿联酋,4
2029,德国,5
2029,法国,6
2029,英国,7
2029,韩国,8
2029,日本,9
2029,加拿大,10
2030,美国,1
2030,中国,2
2030,印度,3
2030,阿联酋,4
2030,德国,5
2030,法国,6
2030,英国,7
2030,韩国,8
2030,日本,9
2030,加拿大,10
2031,美国,1
2031,中国,2
2031,印度,3
2031,阿联酋,4
2031,德国,5
2031,法国,6
2031,英国,7
2031,韩国,8
2031,加拿大,9
2031,日本,10
2032,美国,1
2032,中国,2
2032,印度,3
2032,阿联酋,4
2032,德国,5
2032,法国,6
2032,英国,7
2032,加拿大,8
2032,韩国,9
2032,日本,10
2033,美国,1
2033,中国,2
2033,印度,3
2033,阿联酋,4
2033,德国,5
2033,法国,6
2033,加拿大,7
2033,英国,8
2033,韩国,9
2033,日本,10
2034,美国,1
2034,中国,2
2034,印度,3
2034,阿联酋,4
2034,法国,5
2034,德国,6
2034,加拿大,7
2034,英国,8
2034,韩国,9
2034,日本,10
2035,美国,1
2035,中国,2
2035,印度,3
2035,阿联酋,4
2035,法国,5
2035,德国,6
2035,英国,7
2035,加拿大,8
2035,韩国,9
2035,日本,10
