排名,指标,投资额_亿元,占比_%
1,GPU集群规模,1499.9999809227377,14.999999809227377
2,互联网带宽,1493.3826552916285,14.933826552916285
3,AI政策数量,1457.1252522393615,14.571252522393616
4,企业研发支出,1236.5345055334797,12.365345055334796
5,TOP500上榜数,1051.3379612468932,10.513379612468931
6,AI研究人员数量,949.3013069404101,9.493013069404102
7,顶尖AI学者数量,731.7209826737562,7.317209826737563
8,AI市场规模,374.8498053632455,3.748498053632455
9,政府AI投资,160.07566872281444,1.6007566872281447
10,电能生产,145.05402628520255,1.4505402628520256
11,国际AI投资,127.63807207576298,1.2763807207576299
12,GitHub项目数,123.75000765867998,1.2375000765867998
13,AI补贴金额,106.50546748077531,1.0650546748077532
14,AI应用渗透率,56.61640456106493,0.5661640456106494
15,AI社会信任度,52.83855887585456,0.5283855887585456
16,互联网普及率,50.01628018912873,0.5001628018912874
17,AI毕业生数量,50.01619816388625,0.5001619816388625
18,AI_Book数量,50.01619647166656,0.5001619647166656
19,AI_Dataset数量,50.016196198133336,0.5001619619813334
20,AI算力平台,50.00003541383956,0.5000003541383956
21,数据中心数量,50.000007629996446,0.5000000762999645
22,AI企业数量,50.000000001267566,0.5000000000126756
23,5G覆盖率,50.000000000056126,0.5000000000005613
24,大模型数量,50.0,0.5
