指标,2026基准值,2035投资后,增长量,增长率_%
GitHub项目数,5094.573885836115,99000.0,234374.89880921214,4600.480904101011
AI毕业生数量,70.00031897156146,97.5,1716.9701845031564,2452.803337471454
GPU集群规模,3.9666666666665833,32.96750629722916,29.000839630562574,731.1134198175374
互联网带宽,1.6066666666666831,6.201013402978796,4.594346736312112,285.95501307646896
AI政策数量,72.93333333333612,270.57997990114296,197.64664656780684,270.9963124193366
AI研究人员数量,279.3417133114267,900.0,676.0239593587859,242.00608957569233
TOP500上榜数,83.20000000000437,205.78002800402243,122.58002800401806,147.33176265708414
AI市场规模,138.0,295.15882924990615,157.15882924990615,113.88320877614062
AI企业数量,5901.133333333302,11830.887428374754,5929.754095041451,100.48500447433769
企业研发支出,665.3334741373174,1172.3369563852575,507.00348224794027,76.20291195228084
AI补贴金额,60.53333333333285,82.5,31.900007236131138,52.698248968858316
电能生产,9297.971423487994,13200.0,4085.6312727636246,43.94110377671553
顶尖AI学者数量,396.12717010926303,481.36479437712615,85.2376242678631,21.517742403070898
政府AI投资,102.94503085395604,119.78416451770075,16.8391336637447,16.357402936776687
数据中心数量,288.40000000000146,326.5708158539278,38.17081585392636,13.23537299638434
国际AI投资,4699.711733333417,4842.239735843356,142.5280025099392,3.0326966964529074
AI算力平台,120.00000000000364,122.30168136702987,2.301681367026231,1.9180677898712362
大模型数量,829.1999999999825,841.8732935718846,12.673293571902077,1.5283759716134329
AI应用渗透率,82.28666666666504,82.6172212435744,0.3305545769093645,0.4017109773461816
AI社会信任度,84.79350887745477,85.10199494092292,0.30848606346815877,0.3638085791164782
互联网普及率,83.9898983204721,84.15171982649495,0.16182150602286752,0.19266781759723384
5G覆盖率,100.0,100.0,0.0,0.0
AI_Book数量,10.686666666667406,9.0,0.0,0.0
AI_Dataset数量,34.48666666666668,30.0,0.0,0.0
