国家,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI市场规模,大模型数量,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,国际AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数
美国,260.0,1079,11.5,180.0,120.0,100.0,20.0,600.0,30.0,0.0,97.0,30.0,10.0,92,4253.91,50,2700,0,30.98,188.01,0.0
中国,200.0,276,58.0,90.0,500.0,50.0,47.5,450.0,60.0,0.0,95.0,3.0,8.0,73,9456.45,100,1500,104,29.35,79.87,0.0
英国,34.0,62,3.6,18.0,12.0,20.0,3.5,55.0,4.0,0.0,85.0,0.1,5.0,95,292.53,10,450,15,12.67,79.52,0.0
德国,28.0,46,3.3,14.4,10.0,15.0,3.5,85.0,3.5,0.0,96.0,0.04,6.0,93,503.69,15,480,36,13.58,160.7,0.0
韩国,22.0,15,1.8,9.0,10.0,15.0,3.0,65.0,3.0,0.0,99.9,3.0,4.0,96,617.49,8,200,12,2.0,8.5,0.0
日本,23.0,18,2.2,10.8,10.0,15.0,3.0,115.0,3.0,0.0,99.7,1.0,5.0,95,1006.73,12,180,32,9.87,35.89,0.0
法国,21.0,24,2.2,7.2,10.0,15.0,117.0,60.0,5.0,0.0,93.0,1.5,4.5,85,516.86,10,300,23,7.4,100.94,0.0
加拿大,26.0,41,1.9,5.4,7.0,15.0,2.4,40.0,2.4,0.0,96.0,0.3,3.0,93,641.39,8,250,10,13.33,31.3,0.0
阿联酋,10.0,10,0.5,5.0,5.0,12.0,100.0,25.0,15.0,0.0,90.0,10.0,2.0,99,167.53,15,50,1,2.0,1.33,0.0
印度,80.0,10,47.0,5.0,10.0,12.0,1.25,35.0,2.5,0.0,60.0,0.8,2.5,45,1918.97,5,150,4,10.57,22.04,0.0
